sample_id,lon,lat,Collection_Date,climate_method
SRR24061810,-0.57967,40.27706,5/28/18,exact
SRR24061812,16.42791,40.4738,5/22/18,exact
SRR24061813,-0.16577,48.62281,8/6/18,exact
SRR24061815,14.82655,46.15207,6/4/18,exact
SRR24061816,-2.12005,38.0131,8/17/18,exact
SRR24061818,21.30187,65.25526,8/13/18,exact
SRR24061820,-4.16357,39.72917,7/31/18,exact
SRR24061822,-4.68205,42.25548,8/1/18,exact
SRR24061824,-0.35691,45.6837,8/2/18,exact
SRR24061827,14.18942,50.8275,8/2/18,exact
SRR24061829,-4.82868,39.9413,7/31/18,exact
SRR24061831,13.96576,56.07255,8/9/18,exact
SRR24061833,2.96845,43.93088,8/16/18,exact
SRR24061835,6.15005,46.62452,8/6/18,exact
SRR24061837,-5.38359,36.764,5/30/18,exact
SRR24061838,-3.80035,39.58015,8/7/18,exact
SRR24061840,-3.64218,37.58563,8/6/18,exact
SRR24061842,0.23742,41.56311,8/8/18,exact
SRR24061844,12.80801,49.59186,8/8/18,exact
SRR24061845,8.51876,51.43337,7/25/18,exact
SRR24061846,18.24556,49.74061,7/31/18,exact
SRR24061847,9.11537,51.81693,7/25/18,exact
SRR24061848,-1.56906,40.89466,7/26/18,exact
SRR24061849,2.27168,49.65072,7/31/18,exact
SRR24061850,-1.9827,39.54836,7/31/18,exact
SRR24061851,5.17768,45.23177,7/31/18,exact
SRR24061852,19.1307,54.14221,5/30/18,exact
SRR24061853,8.94888,51.49196,7/25/18,exact
SRR24061854,9.4604,52.07067,7/25/18,exact
SRR24061855,-7.02937,43.26152,7/26/18,exact
SRR24061856,19.52952,54.12994,7/25/18,exact
SRR24061857,-0.12081,46.3599,7/24/18,exact
SRR24061858,-0.19277,47.0062,7/23/18,exact
SRR24061860,-0.02342,46.67749,7/23/18,exact
SRR24061861,-8.49089,42.83698,7/10/18,exact
SRR24061862,9.03792,51.36689,7/25/18,exact
SRR24061864,22.59383,37.96963,7/31/18,exact
SRR24061865,25.38767,57.8396,7/24/18,exact
SRR24061866,-0.68841,49.26298,7/30/18,exact
SRR24061867,13.33522,58.44821,7/30/18,exact
SRR24061868,21.89861,63.0709,7/26/18,exact
SRR24061869,11.65035,44.71622,7/31/18,exact
SRR24061870,2.37727,45.17429,7/31/18,exact
SRR24061871,-1.4589,40.81635,7/26/18,exact
SRR24061872,2.57731,45.20673,7/31/18,exact
SRR24061873,-1.24971,42.55349,7/16/18,exact
SRR24061874,15.75418,48.25367,5/29/18,exact
SRR24061876,23.98693,62.98397,7/19/18,exact
SRR24061877,22.4997,37.08429,7/9/18,exact
SRR24061880,3.18944,50.05273,7/10/18,exact
SRR24061882,-1.4666,49.02219,7/10/18,exact
SRR24061884,1.97492,49.08774,7/9/18,exact
SRR24061886,-2.61539,41.44179,7/16/18,exact
SRR24061888,-4.97042,41.03894,7/17/18,exact
SRR24061889,14.54554,46.2005,5/22/18,exact
SRR24061891,22.71332,36.89049,7/9/18,exact
SRR24061895,7.47544,48.39269,7/16/18,exact
SRR24061897,14.08716,37.3143,7/11/18,exact
SRR24061899,8.30703,46.12161,7/18/18,exact
SRR24061902,17.24751,49.23118,7/18/18,exact
SRR24061904,16.53336,48.84197,7/18/18,exact
SRR24061906,13.08101,42.26374,7/18/18,exact
SRR24061908,-3.93095,41.46635,7/16/18,exact
SRR24061910,-4.5115,40.63121,6/19/18,exact
SRR24061912,5.79545,43.79577,6/19/18,exact
SRR24061914,7.29637,52.63447,6/26/18,exact
SRR24061917,26.04237,59.14238,6/18/18,exact
SRR24061919,9.47886,52.98742,7/3/18,exact
SRR24061921,15.51955,41.39895,7/3/18,exact
SRR24061923,-4.96257,37.12707,6/26/18,exact
SRR24061925,12.35523,45.89276,6/26/18,exact
SRR24061926,21.79461,49.46047,5/30/18,exact
SRR24061928,7.06731,48.90472,7/3/18,exact
SRR24061930,13.26794,37.52788,6/27/18,exact
SRR24061932,25.02391,60.49035,6/19/18,exact
SRR24061934,-5.95173,38.32675,7/2/18,exact
SRR24061936,13.59701,41.99346,6/20/18,exact
SRR24061939,-4.77088,37.08396,6/26/18,exact
SRR24061941,10.47258,51.24405,6/4/18,exact
SRR24061942,3.56067,44.65691,7/3/18,exact
SRR24061943,23.55484,61.77559,6/9/18,exact
SRR24061944,26.10148,63.23448,6/12/18,exact
SRR24061945,22.68116,60.57378,6/20/18,exact
SRR24061946,15.8836,47.50705,6/25/18,exact
SRR24061947,-4.98944,41.51295,6/18/18,exact
SRR24061948,16.27241,58.5785,7/3/18,exact
SRR24061949,26.02495,56.31024,6/13/18,exact
SRR24061950,26.63222,56.17676,6/11/18,exact
SRR24061951,22.33502,53.66003,6/11/18,exact
SRR24061953,13.78295,47.14963,6/14/18,exact
SRR24061954,25.8507,63.22396,6/12/18,exact
SRR24061955,25.97498,58.68989,6/15/18,exact
SRR24061956,-4.45493,37.96035,6/18/18,exact
SRR24061957,15.23483,58.31593,6/13/18,exact
SRR24061958,21.41077,56.76774,5/25/18,exact
SRR24061959,4.52519,43.82642,6/18/18,exact
SRR24061960,-3.19698,41.32931,6/13/18,exact
SRR24061961,6.67794,52.60088,6/13/18,exact
SRR24061962,26.31827,58.74069,6/15/18,exact
SRR24061963,-1.50991,39.13092,5/23/18,exact
SRR24061964,23.14649,61.81292,6/9/18,exact
SRR24061966,22.12836,56.21067,6/11/18,exact
SRR24061967,17.36944,50.03591,6/18/18,exact
SRR24061968,-3.80375,43.34979,6/4/18,exact
SRR24061970,21.67046,55.67132,6/11/18,exact
SRR24061971,1.80374,50.59375,6/25/18,exact
SRR24061974,-1.03367,40.57329,6/6/18,exact
SRR24061976,-3.3576,43.26336,6/4/18,exact
SRR24061978,-1.15284,41.50775,6/4/18,exact
SRR24061979,21.68759,57.12513,5/25/18,exact
SRR24061981,-3.70695,37.90657,5/30/18,exact
SRR24061983,8.60144,50.60727,5/24/18,exact
SRR24061985,6.36553,52.08797,5/25/18,exact
SRR24061987,-1.21006,41.02737,6/25/18,exact
SRR24061991,16.42866,48.6676,5/22/18,exact
SRR24061993,9.78613,57.03248,5/23/18,exact
SRR24061995,-4.71147,41.77469,5/30/18,exact
SRR24061997,-2.94239,37.39097,5/30/18,exact
SRR24061999,-8.81542,42.97971,6/26/18,exact
SRR24062002,8.9698,49.26229,5/28/18,exact
SRR24062004,9.71413,53.43752,5/23/18,exact
SRR24062005,-1.94656,39.47974,5/10/18,exact
SRR24062012,-1.74698,39.41288,5/10/18,exact
SRR24062016,19.99529,46.38989,5/28/18,exact
SRR24062018,0.51527,41.4809,5/22/18,exact
SRR24062021,26.57981,41.4236,5/16/18,exact
SRR24062023,8.53956,39.15142,5/14/18,exact
SRR24062027,-3.19259,42.5361,5/22/18,exact
SRR24062030,-8.77525,37.1391,5/30/18,exact
SRR24062032,-4.79058,41.59793,5/29/18,exact
SRR24062040,0.91757,47.93852,5/22/18,exact
SRR24062042,-4.02256,42.38683,5/16/18,exact
SRR24062045,-6.50528,40.51601,5/21/18,exact
SRR24062047,-5.30005,37.51424,5/16/18,exact
SRR24062049,6.45866,52.01883,5/25/18,exact
SRR24062052,-7.72223,40.96569,4/30/18,exact
SRR24062055,11.55298,52.69091,6/1/18,exact
SRR24062056,28.13928,64.64381,6/1/18,exact
SRR24062058,-3.92995,37.98408,6/28/18,exact
SRR24062060,19.87365,49.62782,6/1/18,exact
SRR24062062,-1.10835,42.05928,6/4/18,exact
SRR24062064,0.91849,41.68212,6/4/18,exact
SRR24062067,29.01029,64.09108,5/29/18,exact
SRR24062069,-4.75154,39.91639,7/31/18,exact
SRR24062071,-0.12782,45.70596,8/2/18,exact
SRR24062073,4.12455,46.96604,6/4/18,exact
SRR24062074,15.67422,56.31469,8/2/18,exact
SRR24062076,11.49729,44.64639,7/31/18,exact
SRR24062078,-5.19517,42.61871,8/1/18,exact
SRR24062080,18.53486,53.19066,7/31/18,exact
SRR24062085,13.59325,50.46964,8/2/18,exact
SRR24062087,0.57413,45.98853,8/1/18,exact
SRR24062089,-6.01599,36.25135,8/1/18,exact
SRR24062091,18.24834,40.31945,8/6/18,exact
SRR24062093,16.56126,65.00587,7/25/18,exact
SRR24062095,-0.6497,41.94534,6/4/18,exact
SRR24062096,-5.5028,42.36972,8/1/18,exact
SRR24062098,-2.6286,41.62274,7/26/18,exact
SRR24062100,2.50652,44.78545,7/30/18,exact
SRR24062101,-1.96795,54.09704,7/13/18,exact
SRR24062103,-2.21648,51.21607,7/16/18,exact
SRR24062104,22.71377,61.32058,7/24/18,exact
SRR24062105,-0.84304,43.41691,7/24/18,exact
SRR24062106,3.09805,46.14624,7/16/18,exact
SRR24062107,16.61654,39.33551,7/14/18,exact
SRR24062108,27.44298,61.71096,7/12/18,exact
SRR24062109,28.58072,62.87358,7/11/18,exact
SRR24062110,20.20123,54.22083,5/30/18,exact
SRR24062111,22.23035,53.08841,7/16/18,exact
SRR24062112,-1.91649,42.93238,7/23/18,exact
SRR24062113,-0.44727,42.03951,7/23/18,exact
SRR24062114,-1.74628,42.82474,7/23/18,exact
SRR24062115,-5.47467,41.78682,7/23/18,exact
SRR24062116,18.29482,63.58151,7/25/18,exact
SRR24062117,-8.31499,37.65668,7/24/18,exact
SRR24062118,14.94273,49.87892,7/24/18,exact
SRR24062119,4.03909,47.4848,7/23/18,exact
SRR24062120,-6.22627,36.76827,7/18/18,exact
SRR24062124,-0.35848,42.23069,7/23/18,exact
SRR24062125,14.725,49.36574,7/24/18,exact
SRR24062126,24.10798,62.31094,7/23/18,exact
SRR24062127,6.54502,47.3768,7/23/18,exact
SRR24062128,6.56251,50.65438,7/11/18,exact
SRR24062129,-2.18683,48.23591,7/24/18,exact
SRR24062130,5.88351,44.99105,7/25/18,exact
SRR24062131,14.83892,63.38394,7/17/18,exact
SRR24062132,12.82214,47.43107,7/12/18,exact
SRR24062133,17.33659,58.88659,7/5/18,exact
SRR24062135,-3.13762,40.82525,7/4/18,exact
SRR24062137,25.2375,55.08652,6/27/18,exact
SRR24062139,-6.69355,42.01164,7/4/18,exact
SRR24062141,27.71833,61.30605,6/29/18,exact
SRR24062143,-6.58115,42.14087,7/4/18,exact
SRR24062147,15.6798,46.12808,7/9/18,exact
SRR24062148,13.22754,47.97822,5/29/18,exact
SRR24062150,22.07813,66.20834,7/5/18,exact
SRR24062152,-8.10367,38.41923,7/4/18,exact
SRR24062154,11.69071,46.04957,7/9/18,exact
SRR24062156,-3.24676,40.77399,7/4/18,exact
SRR24062158,5.77554,45.077,7/10/18,exact
SRR24062161,14.68523,37.86835,7/2/18,exact
SRR24062163,-8.30363,37.95506,7/3/18,exact
SRR24062165,16.20733,58.7981,6/26/18,exact
SRR24062167,-1.46298,38.86248,6/20/18,exact
SRR24062171,25.43307,55.99803,6/13/18,exact
SRR24062173,11.55508,44.91605,7/3/18,exact
SRR24062176,-1.50618,38.71111,6/20/18,exact
SRR24062178,17.0645,58.919,6/19/18,exact
SRR24062180,7.10508,52.39617,6/26/18,exact
SRR24062182,24.52549,60.70798,6/19/18,exact
SRR24062184,29.31069,63.17338,7/2/18,exact
SRR24062185,22.21506,40.03101,6/25/18,exact
SRR24062186,5.2054,45.79261,6/19/18,exact
SRR24062187,3.02948,44.65888,7/2/18,exact
SRR24062188,14.97017,37.22838,6/11/18,exact
SRR24062189,-0.9076,40.80614,6/19/18,exact
SRR24062190,8.3654,45.04106,6/26/18,exact
SRR24062191,-7.65153,42.23262,6/19/18,exact
SRR24062192,3.80439,44.50897,6/26/18,exact
SRR24062193,-4.31179,40.80728,6/19/18,exact
SRR24062194,-4.54399,37.30339,6/26/18,exact
SRR24062197,7.75362,45.75092,6/7/18,exact
SRR24062198,1.88688,46.92934,6/18/18,exact
SRR24062199,3.33838,43.53921,6/25/18,exact
SRR24062200,9.44864,55.34173,6/4/18,exact
SRR24062201,-7.78952,37.07357,6/6/18,exact
SRR24062202,19.51238,50.2022,6/6/18,exact
SRR24062203,1.35562,47.10523,6/11/18,exact
SRR24062204,3.41446,43.96035,6/11/18,exact
SRR24062207,0.67982,51.087,6/12/18,exact
SRR24062209,27.51942,56.94324,6/6/18,exact
SRR24062212,23.33622,63.85059,6/5/18,exact
SRR24062216,26.57462,57.03159,6/6/18,exact
SRR24062218,14.2035,48.10739,6/4/18,exact
SRR24062220,16.17825,52.91972,6/5/18,exact
SRR24062222,20.50707,53.95919,5/30/18,exact
SRR24062223,6.60955,45.55821,6/5/18,exact
SRR24062225,4.20469,44.04395,6/12/18,exact
SRR24062227,10.65759,52.15995,6/5/18,exact
SRR24062229,-8.31158,43.14691,5/30/18,exact
SRR24062233,-4.8743,41.64038,5/30/18,exact
SRR24062235,-0.35408,43.88577,7/2/18,exact
SRR24062238,5.78138,48.6113,7/1/18,exact
SRR24062240,21.91488,51.17487,5/22/18,exact
SRR24062242,21.0514,51.44223,5/28/18,exact
SRR24062244,21.65683,51.07403,5/22/18,exact
SRR24062246,9.113,50.45052,5/23/18,exact
SRR24062249,10.66319,56.38377,5/22/18,exact
SRR24062251,21.86673,47.34356,5/29/18,exact
SRR24062253,12.40582,49.85303,5/23/18,exact
SRR24062255,16.88701,60.13896,5/24/18,exact
SRR24062257,-4.44108,41.66788,5/30/18,exact
SRR24062259,20.40287,49.61636,6/1/18,exact
SRR24062260,9.74558,47.98929,5/29/18,exact
SRR24062262,23.44829,56.69897,5/3/18,exact
SRR24062264,25.06777,55.40052,6/27/18,exact
SRR24062266,-0.31536,40.54216,5/30/18,exact
SRR24062268,-5.58533,42.96244,5/28/18,exact
SRR24062270,-3.41603,41.77525,5/8/18,exact
SRR24062272,11.37836,52.78292,6/1/18,exact
SRR24062273,14.21256,48.53947,5/28/18,exact
SRR24062275,-4.56573,37.83308,5/14/18,exact
SRR24062277,-3.5712,43.10705,5/28/18,exact
SRR24062279,17.98209,46.41449,5/28/18,exact
SRR24062281,12.07503,47.97,5/21/18,exact
SRR24062284,10.22503,53.31184,5/23/18,exact
SRR24062286,21.95336,48.97085,5/28/18,exact
SRR24062288,-3.44762,41.80755,5/8/18,exact
SRR24062290,-3.70348,42.39445,5/16/18,exact
SRR24062294,22.18813,50.23683,5/28/18,exact
SRR24062299,29.94232,64.61197,5/30/18,exact
SRR24062301,-3.50221,43.02492,5/28/18,exact
SRR24062303,27.301,60.69001,6/27/18,exact
SRR24062305,17.80275,48.38058,5/22/18,exact
SRR24062307,-7.49649,40.85886,5/29/18,exact
SRR24062309,11.52852,49.38255,6/4/18,exact
SRR24062310,5.88993,51.8564,5/18/18,exact
SRR24062312,-2.96854,41.96255,5/22/18,exact
SRR24062314,-5.21769,37.45401,5/16/18,exact
SRR24062316,-7.71367,39.23203,5/16/18,exact
SRR24062318,-6.37683,43.27763,5/22/18,exact
SRR24062321,-4.04615,38.86611,5/15/18,exact
SRR24062323,18.69405,46.28646,5/28/18,exact
SRR24062326,16.34223,47.98676,8/20/18,exact
SRR24062329,25.49299,64.68438,8/15/18,exact
SRR24062331,16.61287,58.18312,8/7/18,exact
SRR24062333,23.08536,67.03486,8/15/18,exact
SRR24062335,22.54752,66.89089,8/20/18,exact
SRR24062337,-2.9119,47.97055,8/19/18,exact
SRR24062339,-0.56565,41.46272,6/4/18,exact
SRR24062340,14.23904,47.24091,8/7/18,exact
SRR24062342,4.33013,47.50034,8/8/18,exact
SRR24062344,5.96068,44.97601,7/25/18,exact
SRR24062346,-7.6243,41.5552,7/31/18,exact
SRR24062348,-1.68618,40.75309,7/26/18,exact
SRR24062351,-2.59252,38.94016,8/1/18,exact
SRR24062353,-8.13378,42.0164,8/3/18,exact
SRR24062355,-2.63273,39.63012,7/31/18,exact
SRR24062358,14.717,49.8525,7/24/18,exact
SRR24062360,-4.88295,40.77709,7/24/18,exact
SRR24062361,16.44305,64.14045,7/25/18,exact
SRR24062362,8.08523,51.48101,7/25/18,exact
SRR24062363,21.65033,48.51235,7/23/18,exact
SRR24062364,17.15358,48.96635,7/18/18,exact
SRR24062369,28.31015,62.57164,7/11/18,exact
SRR24062370,-5.4725,40.72224,7/10/18,exact
SRR24062371,-2.37014,41.54577,7/9/18,exact
SRR24062372,15.21981,63.28112,7/24/18,exact
SRR24062373,6.67858,49.00186,7/11/18,exact
SRR24062374,23.50769,40.42722,7/23/18,exact
SRR24062375,7.23779,51.6799,7/11/18,exact
SRR24062377,6.82807,43.52576,7/16/18,exact
SRR24062378,4.29548,48.29232,7/16/18,exact
SRR24062379,16.24357,57.82181,7/24/18,exact
SRR24062380,-2.57139,37.47794,7/23/18,exact
SRR24062381,19.95411,50.41803,7/9/18,exact
SRR24062382,-6.21124,38.90896,7/10/18,exact
SRR24062383,26.97195,62.34153,7/12/18,exact
SRR24062384,13.59661,56.94729,7/12/18,exact
SRR24062385,6.71058,50.96461,7/11/18,exact
SRR24062388,10.4463,45.39532,7/12/18,exact
SRR24062390,-1.5526,42.71957,7/16/18,exact
SRR24062391,-4.39049,43.08514,5/30/18,exact
SRR24062393,16.94095,49.0159,7/18/18,exact
SRR24062395,-1.12872,46.53183,7/5/18,exact
SRR24062397,6.14221,46.7324,7/9/18,exact
SRR24062399,-6.7408,42.00368,7/4/18,exact
SRR24062401,22.57974,37.27522,7/9/18,exact
SRR24062404,-8.08619,38.44107,7/4/18,exact
SRR24062406,13.00909,43.2417,7/9/18,exact
SRR24062410,-3.00809,40.54994,7/4/18,exact
SRR24062412,10.66228,44.25825,7/4/18,exact
SRR24062413,21.43754,49.60651,5/30/18,exact
SRR24062415,-2.88559,40.76727,7/4/18,exact
SRR24062417,30.52627,62.25921,7/1/18,exact
SRR24062419,23.69424,53.38555,7/9/18,exact
SRR24062421,8.67936,45.6944,6/19/18,exact
SRR24062423,-8.33699,53.03631,7/2/18,exact
SRR24062425,5.73973,43.54053,7/10/18,exact
SRR24062427,2.15805,48.63085,7/10/18,exact
SRR24062430,9.96034,47.32359,7/9/18,exact
SRR24062434,9.7485,47.39531,7/9/18,exact
SRR24062436,7.41023,52.70892,6/26/18,exact
SRR24062438,7.60714,44.39516,6/18/18,exact
SRR24062439,16.49536,43.60418,6/4/18,exact
SRR24062442,-3.3062,41.49751,6/19/18,exact
SRR24062444,22.01575,60.77779,6/21/18,exact
SRR24062448,-1.31501,39.08099,6/19/18,exact
SRR24062450,-8.78134,39.54593,6/20/18,exact
SRR24062453,17.81889,48.83129,6/5/18,exact
SRR24062455,-0.92369,42.11604,6/4/18,exact
SRR24062456,7.11449,53.15178,6/13/18,exact
SRR24062457,-5.43986,40.3968,6/13/18,exact
SRR24062458,17.09558,50.26997,6/18/18,exact
SRR24062459,25.98002,58.85503,6/15/18,exact
SRR24062460,1.20911,45.28211,6/25/18,exact
SRR24062461,21.57118,56.20782,6/11/18,exact
SRR24062462,6.97394,53.02243,6/13/18,exact
SRR24062463,24.42079,54.78165,6/15/18,exact
SRR24062464,15.48473,49.49348,6/18/18,exact
SRR24062465,6.99627,52.69924,6/13/18,exact
SRR24062466,19.9073,53.24837,5/29/18,exact
SRR24062467,10.96968,46.14864,6/25/18,exact
SRR24062468,22.9416,56.09416,6/11/18,exact
SRR24062469,25.50077,58.34097,6/15/18,exact
SRR24062470,22.00671,53.8022,6/11/18,exact
SRR24062471,11.0888,45.64297,6/6/18,exact
SRR24062472,-0.40142,45.91535,6/5/18,exact
SRR24062473,-3.05139,39.72088,6/18/18,exact
SRR24062474,-2.64452,55.68663,6/6/18,exact
SRR24062475,-2.85114,55.92099,6/6/18,exact
SRR24062476,3.80972,44.69009,6/26/18,exact
SRR24062478,19.68648,51.18363,6/5/18,exact
SRR24062479,16.57987,50.21066,6/13/18,exact
SRR24062480,7.29362,45.70413,6/7/18,exact
SRR24062481,0.51742,43.31633,6/12/18,exact
SRR24062482,13.75162,48.17775,6/4/18,exact
SRR24062483,3.87455,45.94081,6/11/18,exact
SRR24062484,25.76532,58.38347,6/15/18,exact
SRR24062486,9.25322,50.48748,5/23/18,exact
SRR24062488,6.73005,50.28136,5/25/18,exact
SRR24062490,19.89069,47.65082,5/29/18,exact
SRR24062492,23.54501,56.59747,5/3/18,exact
SRR24062493,9.59085,56.83425,5/22/18,exact
SRR24062495,13.06362,56.0433,5/28/18,exact
SRR24062497,-2.24398,41.76218,5/28/18,exact
SRR24062501,9.95943,48.49343,5/28/18,exact
SRR24062504,9.93121,49.33894,5/28/18,exact
SRR24062506,22.61731,62.50006,6/8/18,exact
SRR24062508,19.37801,49.23565,5/22/18,exact
SRR24062510,3.40206,43.85099,7/1/18,exact
SRR24062515,8.04405,50.41929,5/24/18,exact
SRR24062518,10.09882,50.57976,5/22/18,exact
SRR24062520,5.62713,48.82154,7/1/18,exact
SRR24062522,-7.79395,37.44268,5/22/18,exact
SRR24062524,-3.52178,42.89438,5/28/18,exact
SRR24062527,-7.09512,42.71654,5/30/18,exact
SRR24062529,3.08271,43.39552,6/25/18,exact
SRR24062533,-1.28293,40.6361,5/15/18,exact
SRR24062535,30.87296,63.03803,5/26/18,exact
SRR24062538,-7.46852,41.52767,4/30/18,exact
SRR24062540,7.81493,49.89348,5/25/18,exact
SRR24062544,10.63953,48.79746,5/21/18,exact
SRR24062546,14.26248,46.55485,7/2/18,exact
SRR24062550,22.37579,39.51708,5/21/18,exact
SRR24062552,-1.07004,41.71743,6/4/18,exact
SRR24062553,6.86998,51.97648,5/18/18,exact
SRR24062555,-6.74688,40.69567,5/21/18,exact
SRR24062557,-6.26046,41.0539,5/22/18,exact
SRR24062559,-1.33439,40.39302,5/28/18,exact
SRR24062567,22.63521,39.28222,5/29/18,exact
SRR24062569,9.1858,47.82458,5/29/18,exact
SRR24062571,16.85332,59.79715,5/30/18,exact
SRR24062573,-4.99774,43.3998,5/29/18,exact
SRR24062575,12.91424,57.89997,6/4/18,exact
SRR24062576,9.04579,40.71517,4/30/18,exact
SRR24062578,1.17235,46.61959,5/3/18,exact
SRR24062581,0.1531,41.93673,8/6/18,exact
SRR24062583,23.61103,66.97558,8/15/18,exact
SRR24062586,-8.21153,40.9679,8/1/18,exact
SRR24062591,10.90739,48.5617,6/4/18,exact
SRR24062592,22.85269,38.96053,7/31/18,exact
SRR24062594,-3.97975,42.10006,7/31/18,exact
SRR24062596,-4.908,42.36859,8/1/18,exact
SRR24062597,-7.91525,41.20732,8/1/18,exact
SRR24062598,17.02471,48.25221,7/30/18,exact
SRR24062600,-2.5142,39.26145,8/1/18,exact
SRR24062601,6.98119,48.07419,7/25/18,exact
SRR24062602,8.24552,44.82273,5/17/18,exact
SRR24062603,16.87082,49.88667,7/31/18,exact
SRR24062604,22.23631,63.20875,7/26/18,exact
SRR24062605,7.91747,51.37025,7/25/18,exact
SRR24062606,-2.02354,40.7671,7/26/18,exact
SRR24062607,20.9543,48.83785,7/23/18,exact
SRR24062608,-2.32407,39.61511,7/31/18,exact
SRR24062609,15.61379,41.64729,7/30/18,exact
SRR24062610,-2.49723,39.53801,7/31/18,exact
SRR24062611,-4.96981,40.83722,7/24/18,exact
SRR24062612,-8.10414,37.99371,7/25/18,exact
SRR24062614,17.42564,64.44205,7/25/18,exact
SRR24062615,0.60833,44.7403,7/30/18,exact
SRR24062616,14.22146,63.52851,7/24/18,exact
SRR24062617,11.37738,42.80722,6/4/18,exact
SRR24062619,13.80813,63.43082,7/24/18,exact
SRR24062620,24.29892,63.04669,7/19/18,exact
SRR24062621,-8.65529,41.45714,7/12/18,exact
SRR24062623,4.12538,50.19507,7/23/18,exact
SRR24062625,6.03205,49.2149,7/10/18,exact
